23991,24382,23992,24383
3411,3440,11434,11463
4099,4131,12127,12159
23022,24002,23023,24003
3632,3673,11655,11696
27065,27094,12798,12827
22747,22783,22749,22785
22051,22099,22045,22093
21978,22007,21972,22001
17924,17953,25958,25987
17915,17952,25949,25986
17836,17865,25870,25899
17731,17760,25765,25794
17220,17255,2955,2990
17154,17183,2893,2922
17045,17074,2784,2813
6825,6854,6825,6854
18109,18144,26142,26177
16690,16722,2429,2461
16367,16396,2106,2135
7751,7785,7744,7778
6934,6967,6934,6967
6928,6974,6928,6974
6827,6856,6827,6856
24343,24380,24344,24381
22632,22661,22634,22663
16873,16979,2612,2718
7030,7066,7031,7067
5809,5851,5809,5851
21983,22013,21977,22007
3412,3442,11435,11465
16411,16440,2150,2179
22859,22915,22860,22916
5825,5857,5825,5857
24646,24675,24647,24676
24684,24724,24685,24725
22634,22701,22636,22703
5222,6540,5222,6540
17916,17969,25950,26003
17211,17274,2946,3009
17709,17753,25743,25787
5231,6534,5231,6534
17628,17661,25662,25695
21774,21803,21768,21797
22750,22792,22752,22794
17380,17409,3113,3142
16779,16808,2518,2547
17375,17410,3108,3143
22065,22095,22059,22089
17720,17757,25754,25791
18378,18407,26411,26440
5220,6290,5220,6290
5234,6230,5234,6230
3447,3476,11470,11499
26576,26605,12300,12329
1,30,1,30
23018,24608,23019,24609
17561,17600,3294,3333
6829,6859,6829,6859
22758,22790,22760,22792
18187,18227,26220,26260
24234,24578,24235,24579
26924,26953,12657,12686
24237,24576,24238,24577
6262,6527,6262,6527
21979,22016,21973,22010
22872,22911,22873,22912
7034,7078,7035,7079
27020,27049,12753,12782
18116,18145,26149,26178
21994,22023,21988,22017
17563,17598,3296,3331
7150,7188,7151,7189
7749,7783,7742,7776
23983,24571,23984,24572
23188,24662,23189,24663
5598,6533,5598,6533
7045,7081,7046,7082
17456,17500,3189,3233
23794,24553,23795,24554
23608,24549,23609,24550
22879,22914,22880,22915
23085,24711,23086,24712
7741,7782,7734,7775
7,54,7,54
16920,16994,2659,2733
8032,8062,8025,8055
38,1916,38,1916
42,1915,42,1915
5800,6908,5800,6908
141,1858,141,1858
201,1838,201,1838
5265,6906,5265,6906
6914,6965,6914,6965
22052,22102,22046,22096
22919,24709,22920,24710
217,1836,217,1836
3582,3614,11605,11637
100,1835,100,1835
130,1834,130,1834
7143,7187,7144,7188
16896,16993,2635,2732
7808,7840,7801,7833
272,1832,272,1832
16743,16775,2482,2514
24056,24547,24057,24548
557,1726,557,1726
22768,22797,22770,22799
7812,7851,7805,7844
563,1720,563,1720
17704,17748,25738,25782
5267,6905,5267,6905
7032,7083,7033,7084
24067,24742,24068,24743
637,1710,637,1710
17450,17498,3183,3231
7168,7197,7169,7198
7166,7196,7167,7197
18107,18142,26140,26175
17078,17110,2817,2849
157,1646,157,1646
111,1645,111,1645
1772,1907,1772,1907
736,1639,736,1639
1618,1903,1618,1903
5323,6463,5323,6463
17713,17756,25747,25790
17472,17501,3205,3234
1676,1870,1676,1870
337,1627,337,1627
16777,16809,2516,2548
1961,2053,1961,2053
17837,17869,25871,25903
405,2362,405,2362
961,2361,961,2361
18111,18143,26144,26176
478,2360,478,2360
1000,2338,1000,2338
1556,2322,1556,2322
1527,2317,1527,2317
18376,18419,26409,26452
17227,17270,2962,3005
27595,27624,13328,13357
5328,6780,5328,6780
7136,7194,7137,7195
22927,22993,22928,22994
23110,24509,23111,24510
17711,17761,25745,25795
7120,7192,7121,7193
7128,7191,7129,7192
23108,25155,23109,25156
23226,25154,23227,25155
16734,16773,2473,2512
1600,2785,1600,2785
23257,25153,23258,25154
500,2197,500,2197
22123,22152,22117,22146
21985,22026,21979,22020
6181,6525,6181,6525
2266,2781,2266,2781
2838,2868,2838,2868
23276,24994,23277,24995
2840,2988,2840,2988
23422,25140,23423,25141
2858,2986,2858,2986
2863,2964,2863,2964
2866,2992,2866,2992
24023,24993,24024,24994
2964,2995,2964,2995
17207,17272,2942,3007
3606,3649,3606,3649
2998,3027,2998,3027
3001,3034,3001,3034
22667,22704,22669,22706
3002,3331,3002,3331
5376,6912,5376,6912
16902,16991,2641,2730
6447,6777,6447,6777
17630,17662,25664,25696
22917,22947,22918,22948
23518,24979,23519,24980
5365,6770,5365,6770
24782,25134,24783,25135
863,2773,863,2773
22636,22694,22638,22696
6556,6903,6556,6903
24744,25126,24745,25127
3198,3328,3198,3328
6580,6902,6580,6902
3213,3325,3213,3325
5450,6901,5450,6901
3221,3313,3221,3313
17567,17599,3300,3332
4042,4071,12070,12099
3303,3506,3303,3506
6755,6803,6755,6803
6775,6809,6775,6809
8,3226,8,3226
24966,25344,24967,25345
23025,24660,23026,24661
3448,3477,11471,11500
22874,22913,22875,22914
18189,18230,26222,26263
3447,3590,3447,3590
3481,3511,11504,11534
2747,3473,2747,3473
3484,3513,11507,11536
4117,4146,12145,12174
5452,6879,5452,6879
3487,3534,11510,11557
3491,3557,3491,3557
23228,25108,23229,25109
3493,3533,11516,11556
3495,3531,11518,11554
23047,24643,23048,24644
