(2299,2501,1499,1701),
(2291,2299,177,185),
(2286,2291,625,630),
(2276,2286,1207,1216),
(2270,2276,292,298),
(2264,2270,245,251),
(2255,2264,1102,1111),
(2236,2255,742,759),
(2227,2236,25,33),
(2215,2227,555,565),
(2209,2215,1343,1349),
(2197,2209,1079,1089),
(2186,2197,416,426),
(2178,2186,438,445),
(2160,2178,1419,1436),
(2155,2160,357,362),
(2145,2155,1113,1124),
(2134,2145,871,881),
(2127,2134,181,188),
(2122,2127,80,85),
(2115,2122,1073,1080),
(2109,2115,630,636),
(2096,2109,15,26),
(2082,2096,1288,1301),
(2071,2082,975,987),
(2047,2071,693,716),
(2042,2047,456,461),
(2032,2042,854,863),
(2020,2032,452,464),
(2015,2020,43,48),
(2007,2015,988,996),
(1998,2007,122,130),
(1900,1998,1400,1498),
(1810,1900,1110,1200),
(1802,1810,1590,1598),
(1700,1802,1200,1302),
(1602,1700,1302,1400),
(1501,1602,1001,1102),
(1400,1501,400,501),
(1300,1400,900,1000),
(1200,1300,900,1000),
(1000,1200,700,900),
(900,1000,700,800),
(804,900,704,800),
(704,804,704,804),
(501,704,601,804),
(400,501,499,600),
(301,400,401,500),
(0,301,0,301),
