0, 0, 579, 579
580, 580, 1579, 1579
1580, 1580, 2579, 2579
2580, 2580, 3579, 3579
11603, 3580, 11621, 3598
3599, 3599, 4171, 4171
4172, 4172, 5171, 5171
24662, 5172, 24617, 5217
5218, 5218, 5277, 5277
5278, 5278, 6277, 6277
23550, 6278, 22551, 7277
2149, 7278, 2157, 7286
22541, 7287, 21985, 7843
17804, 7844, 17811, 7851
21976, 7852, 21907, 7921
21906, 7922, 20907, 8921
20906, 8922, 19907, 9921
14321, 9922, 14312, 9931
19896, 9932, 19658, 10170
19657, 10171, 18658, 11170
18657, 11171, 17658, 12170
17656, 12171, 17466, 12361
17465, 12362, 16466, 13361
16465, 13362, 15466, 14361
15465, 14362, 14466, 15361
280, 15362, 271, 15371
14455, 15372, 14156, 15671
14155, 15672, 13156, 16671
13155, 16672, 12156, 17671
12155, 17672, 11156, 18671
11155, 18672, 10156, 19671
4296, 19672, 4302, 19678
10148, 19679, 9253, 20574
9252, 20575, 8253, 21574
8252, 21575, 7253, 22574
7252, 22575, 6253, 23574
23576, 23575, 24575, 24574
24576, 24575, 25575, 25574
25576, 25575, 26575, 26574
26576, 26575, 27575, 27574
17607, 27575, 17614, 27582
27584, 27583, 27824, 27823
27825, 27824, 28824, 28823
28825, 28824, 29824, 29823
14355, 29824, 14343, 29836
10415, 29837, 10422, 29844
